location,total case,PercentPopulationVaccinated,PercentPopulationInfected
Northern Cyprus,,,
Timor,22668,50.21508697,1.686764022
Iraq,2301590,23.61829598,5.589184735
Nepal,976865,72.56900777,3.29188756
United Arab Emirates,879368,98.99392288,8.801528323
Pakistan,1509360,55.19971145,0.670231117
Bangladesh,1942680,62.15078981,1.168153448
Jordan,1623474,45.25475746,15.80943151
Philippines,3661049,50.52846675,3.296849052
India,42924130,69.27873619,3.080511823
Uzbekistan,236299,54.009777,0.696312578
Azerbaijan,785301,51.65035041,7.681449436
Bahrain,512306,70.20010925,29.30317824
Brunei,59447,92.26828407,13.4638033
Iran,7040467,73.73124811,8.280100756
Singapore,710880,91.27666129,13.03505941
Syria,54480,11.6833803,0.298100691
Oman,381381,61.35886063,7.301427276
South Korea,3134456,87.41168339,6.109433308
Palestine,640214,39.81260086,12.25816408
Laos,142609,65.77791727,1.932539389
Hong Kong,44386,77.85417329,0.587676094
Malaysia,3419636,82.15449048,10.4332916
Qatar,356671,80.5421829,12.17089503
Saudi Arabia,744374,72.98294204,2.10628092
Myanmar,586198,42.76929718,1.069586998
Lebanon,1066840,36.76536393,15.76032208
Taiwan,20433,81.03342912,0.08565497
Japan,4954865,80.65974133,3.930847846
China,109326,87.88864757,0.00756992
Georgia,1603007,39.45202402,40.2788551
Afghanistan,173395,12.05340131,0.435278366
Cambodia,129920,85.71085052,0.766650423
Bhutan,12194,76.27541993,1.563533786
Mongolia,905968,68.22936597,27.2121136
Israel,3625738,72.10127005,39.02419546
Kazakhstan,1390441,49.37846664,7.320053037
Maldives,169632,73.22615062,31.20414996
Turkey,14025181,67.81571679,16.49192119
Macao,81,79.26930957,0.01230272
Kuwait,619310,78.15311491,14.30755266
Armenia,419693,35.95855704,14.13998992
Sri Lanka,645037,78.5694868,3.000548069
Thailand,2891927,76.49429076,4.134227458
Yemen,11769,2.015874446,0.038598732
Tajikistan,17786,47.79389977,0.182427529
Kyrgyzstan,200500,21.66722714,3.024886899
Indonesia,5539394,68.99372355,2.004399393
Vietnam,3321005,80.95632882,3.382952648
